('SeaMonkey', 'Mac OS X', 'Throttleable')	25
('SeaMonkey', 'Mac OS X', 'Vendor')	31
('SeaMonkey', 'Mac OS X', 'Version')	31
('SeaMonkey', 'Mac OS X', 'additional_minidumps')	4
('SeaMonkey', 'Mac OS X', 'version')	21
('SeaMonkey', 'Windows NT', 'Accessibility')	62
('SeaMonkey', 'Windows NT', 'AdapterVendorID')	1280
('SeaMonkey', 'Windows NT', 'CpuUsageFlashProcess2')	229
('SeaMonkey', 'Windows NT', 'FramePoisonBase')	1080
('SeaMonkey', 'Windows NT', 'FramePoisonSize')	1080
('SeaMonkey', 'Windows NT', 'OOMAllocationSize')	23
('SeaMonkey', 'Windows NT', 'PluginFilename')	521
('SeaMonkey', 'Windows NT', 'PluginName')	48
('SeaMonkey', 'Windows NT', 'ProductID')	1275
('SeaMonkey', 'Windows NT', 'ProductName')	1404
('SeaMonkey', 'Windows NT', 'SecondsSinceLastCrash')	767
('SeaMonkey', 'Windows NT', 'StartupTime')	1404
('SeaMonkey', 'Windows NT', 'Winsock_LSP')	1285
('SeaMonkey', 'Windows NT', 'submitted_timestamp')	1404
('SeaMonkey', 'Windows NT', 'timestamp')	1404
('Shibo_web', 'Windows NT', 'FramePoisonBase')	2
('Shibo_web', 'Windows NT', 'FramePoisonSize')	2
('Shibo_web', 'Windows NT', 'ProductName')	2
('Shibo_web', 'Windows NT', 'SecondsSinceLastCrash')	2
('Shibo_web', 'Windows NT', 'StartupTime')	2
('Shibo_web', 'Windows NT', 'submitted_timestamp')	2
('Shibo_web', 'Windows NT', 'timestamp')	2
('Sunbird', 'Windows NT', 'BuildID')	25
('Sunbird', 'Windows NT', 'Theme')	25
('Sunbird', 'Windows NT', 'legacy_processing')	25
('Thunderbird', 'Linux', '$total')	796
('Thunderbird', 'Linux', 'Add-ons')	733
('Thunderbird', 'Linux', 'Comments')	12
('Thunderbird', 'Linux', 'CrashTime')	796
('Thunderbird', 'Linux', 'EMCheckCompatibility')	733
('Thunderbird', 'Linux', 'Email')	121
('Thunderbird', 'Linux', 'InstallTime')	795
('Thunderbird', 'Linux', 'ReleaseChannel')	788
('Thunderbird', 'Linux', 'Throttleable')	795
