BaseAddress	AllocationBase	AllocationProtect	RegionSize	State	Protect	Type
0d700000	0	0	00003000	00002000		00020000
0d703000	0	0	00095000	00001000	00000004	00020000
0d798000	0	0	00001000	00002000		00020000
0d799000	0	0	002a2000	00001000	00000004	00020000
0da3b000	0	0	00001000	00002000		00020000
0da3c000	0	0	0028a000	00001000	00000004	00020000
0dcc6000	0	0	00001000	00002000		00020000
0dcc7000	0	0	0033b000	00001000	00000004	00020000
0e002000	0	0	00001000	00002000		00020000
0e003000	0	0	0035d000	00001000	00000004	00020000
0e360000	0	0	00096000	00001000	00000004	00020000
0e3f6000	0	0	0000a000	00010000	00000001	
0e400000	0	0	00100000	00001000	00000004	00020000
0e500000	0	0	000af000	00001000	00000004	00020000
0e5af000	0	0	00031000	00010000	00000001	
0e5e0000	0	0	0000d000	00002000		00020000
0e5ed000	0	0	00001000	00001000	00000104	00020000
0e5ee000	0	0	00002000	00001000	00000004	00020000
0e5f0000	0	0	00010000	00010000	00000001	
0e600000	0	0	00100000	00001000	00000004	00020000
0e700000	0	0	00050000	00010000	00000001	
0e750000	0	0	000be000	00002000		00020000
0e80e000	0	0	00002000	00001000	00000104	00020000
0e810000	0	0	00040000	00001000	00000004	00020000
0e850000	0	0	00020000	00010000	00000001	
0e870000	0	0	00025000	00001000	00000004	00020000
0e895000	0	0	0001b000	00002000		00020000
0e8b0000	0	0	00930000	00001000	00000002	00040000
0f1e0000	0	0	00316000	00001000	00000004	00020000
0f4f6000	0	0	0003d000	00002000		00020000
0f533000	0	0	00081000	00001000	00000004	00020000
0f5b4000	0	0	00001000	00002000		00020000
0f5b5000	0	0	00022000	00001000	00000004	00020000
0f5d7000	0	0	00009000	00002000		00020000
0f5e0000	0	0	00020000	00010000	00000001	
0f600000	0	0	00100000	00001000	00000004	00020000
0f700000	0	0	000ae000	00001000	00000002	00040000
0f7ae000	0	0	00052000	00010000	00000001	
0f800000	0	0	00100000	00001000	00000004	00020000
0f900000	0	0	00062000	00001000	00000002	00040000
0f962000	0	0	0000e000	00010000	00000001	
0f970000	0	0	00081000	00001000	00000004	00020000
0f9f1000	0	0	0000f000	00010000	00000001	
0fa00000	0	0	000fd000	00002000		00020000
0fafd000	0	0	00001000	00001000	00000104	00020000
0fafe000	0	0	00002000	00001000	00000004	00020000
0fb00000	0	0	00100000	00001000	00000004	00020000
0fc00000	0	0	000ce000	00001000	00000002	00040000
0fcce000	0	0	00032000	00010000	00000001	
0fd00000	0	0	00100000	00001000	00000004	00020000
0fe00000	0	0	000ff000	00001000	00000004	00020000
0feff000	0	0	00001000	00010000	00000001	
0ff00000	0	0	00100000	00001000	00000004	00020000
10000000	0	0	00001000	00001000	00000002	01000000
10001000	0	0	00006000	00001000	00000020	01000000
10007000	0	0	00003000	00001000	00000002	01000000
1000a000	0	0	00003000	00001000	00000004	01000000
1000d000	0	0	00003000	00001000	00000002	01000000
10010000	0	0	007d0000	00001000	00000404	00020000
107e0000	0	0	00020000	00010000	00000001	
10800000	0	0	00100000	00001000	00000004	00020000
10900000	0	0	000a3000	00001000	00000004	00020000
109a3000	0	0	0004d000	00010000	00000001	
109f0000	0	0	00001000	00001000	00000020	00020000
109f1000	0	0	0000f000	00010000	00000001	
10a00000	0	0	00100000	00001000	00000004	00020000
10b00000	0	0	000b7000	00001000	00000002	00040000
10bb7000	0	0	00049000	00010000	00000001	
10c00000	0	0	00100000	00001000	00000004	00020000
10d00000	0	0	00007000	00001000	00000004	00020000
10d07000	0	0	0001b000	00002000		00020000
10d22000	0	0	0000a000	00001000	00000004	00020000
10d2c000	0	0	000d4000	00002000		00020000
10e00000	0	0	00101000	00001000	00000004	00020000
10f01000	0	0	0000f000	00010000	00000001	
10f10000	0	0	00088000	00001000	00000002	00040000
10f98000	0	0	00008000	00010000	00000001	
10fa0000	0	0	000fd000	00002000		00020000
1109d000	0	0	00001000	00001000	00000104	00020000
1109e000	0	0	00002000	00001000	00000004	00020000
110a0000	0	0	00050000	00010000	00000001	
110f0000	0	0	000fa000	00002000		00020000
111ea000	0	0	00001000	00001000	00000104	00020000
111eb000	0	0	00005000	00001000	00000004	00020000
111f0000	0	0	00101000	00001000	00000004	00020000
112f1000	0	0	0000f000	00010000	00000001	
11300000	0	0	000bd000	00001000	00000002	00040000
113bd000	0	0	00023000	00010000	00000001	
113e0000	0	0	00487000	00001000	00000004	00020000
11867000	0	0	00001000	00002000		00020000
11868000	0	0	001ad000	00001000	00000004	00020000
11a15000	0	0	00002000	00002000		00020000
11a17000	0	0	0031b000	00001000	00000004	00020000
11d32000	0	0	00002000	00002000		00020000
11d34000	0	0	001b5000	00001000	00000004	00020000
11ee9000	0	0	00002000	00002000		00020000
11eeb000	0	0	00335000	00001000	00000004	00020000
12220000	0	0	00001000	00002000		00020000
12221000	0	0	0018f000	00001000	00000004	00020000
123b0000	0	0	00050000	00010000	00000001	
12400000	0	0	00100000	00001000	00000004	00020000
12500000	0	0	00100000	00001000	00000004	00020000
12600000	0	0	00100000	00001000	00000004	00020000
12700000	0	0	00100000	00010000	00000001	
12800000	0	0	00100000	00001000	00000004	00020000
12900000	0	0	000c0000	00010000	00000001	
129c0000	0	0	00007000	00001000	00000004	00020000
129c7000	0	0	00009000	00002000		00020000
129d0000	0	0	00030000	00010000	00000001	
12a00000	0	0	00100000	00001000	00000004	00020000
12b00000	0	0	000fd000	00002000		00020000
12bfd000	0	0	00001000	00001000	00000104	00020000
12bfe000	0	0	00002000	00001000	00000004	00020000
12c00000	0	0	00100000	00001000	00000004	00020000
12d00000	0	0	00100000	00010000	00000001	
12e00000	0	0	00100000	00001000	00000004	00020000
12f00000	0	0	000fd000	00002000		00020000
12ffd000	0	0	00001000	00001000	00000104	00020000
12ffe000	0	0	00002000	00001000	00000004	00020000
13000000	0	0	00100000	00001000	00000004	00020000
13100000	0	0	000fa000	00002000		00020000
131fa000	0	0	00001000	00001000	00000104	00020000
131fb000	0	0	00005000	00001000	00000004	00020000
13200000	0	0	00100000	00001000	00000004	00020000
13300000	0	0	007f8000	00001000	00000002	00040000
13af8000	0	0	00028000	00010000	00000001	
13b20000	0	0	000fb000	00002000		00020000
13c1b000	0	0	00001000	00001000	00000104	00020000
13c1c000	0	0	00004000	00001000	00000004	00020000
13c20000	0	0	000c0000	00010000	00000001	
13ce0000	0	0	00010000	00001000	00000004	00020000
13cf0000	0	0	00010000	00010000	00000001	
13d00000	0	0	00100000	00001000	00000004	00020000
13e00000	0	0	00180000	00001000	00000002	00040000
13f80000	0	0	000fd000	00002000		00020000
1407d000	0	0	00001000	00001000	00000104	00020000
1407e000	0	0	00002000	00001000	00000004	00020000
14080000	0	0	00080000	00010000	00000001	
14100000	0	0	00100000	00001000	00000004	00020000
14200000	0	0	000fd000	00002000		00020000
142fd000	0	0	00001000	00001000	00000104	00020000
142fe000	0	0	00002000	00001000	00000004	00020000
14300000	0	0	00100000	00001000	00000004	00020000
14400000	0	0	000fd000	00002000		00020000
144fd000	0	0	00001000	00001000	00000104	00020000
144fe000	0	0	00002000	00001000	00000004	00020000
14500000	0	0	00100000	00001000	00000004	00020000
14600000	0	0	00090000	00010000	00000001	
14690000	0	0	000fd000	00002000		00020000
1478d000	0	0	00002000	00001000	00000104	00020000
1478f000	0	0	00001000	00001000	00000004	00020000
14790000	0	0	00070000	00010000	00000001	
14800000	0	0	00100000	00001000	00000004	00020000
14900000	0	0	00100000	00001000	00000004	00020000
14a00000	0	0	00100000	00001000	00000004	00020000
14b00000	0	0	00030000	00010000	00000001	
14b30000	0	0	00010000	00001000	00000040	00020000
14b40000	0	0	00020000	00010000	00000001	
14b60000	0	0	00010000	00001000	00000040	00020000
14b70000	0	0	00030000	00010000	00000001	
14ba0000	0	0	000fc000	00002000		00020000
14c9c000	0	0	00001000	00001000	00000104	00020000
14c9d000	0	0	00003000	00001000	00000004	00020000
14ca0000	0	0	00070000	00010000	00000001	
14d10000	0	0	000fd000	00002000		00020000
14e0d000	0	0	00001000	00001000	00000104	00020000
14e0e000	0	0	00002000	00001000	00000004	00020000
14e10000	0	0	000c1000	00001000	00000004	00020000
14ed1000	0	0	0002f000	00010000	00000001	
14f00000	0	0	00100000	00001000	00000004	00020000
15000000	0	0	000d9000	00001000	00000004	00020000
150d9000	0	0	00010000	00002000		00020000
150e9000	0	0	00001000	00001000	00000004	00020000
150ea000	0	0	00016000	00002000		00020000
15100000	0	0	00100000	00001000	00000004	00020000
15200000	0	0	00200000	00001000	00000404	00040000
15400000	0	0	000fd000	00002000		00020000
154fd000	0	0	00001000	00001000	00000104	00020000
154fe000	0	0	00002000	00001000	00000004	00020000
15500000	0	0	00100000	00001000	00000004	00020000
15600000	0	0	00100000	00001000	00000404	00020000
15700000	0	0	00100000	00001000	00000004	00020000
15800000	0	0	00100000	00001000	00000004	00020000
15900000	0	0	00100000	00010000	00000001	
15a00000	0	0	00100000	00001000	00000004	00020000
15b00000	0	0	000fa000	00002000		00020000
15bfa000	0	0	00001000	00001000	00000104	00020000
15bfb000	0	0	00005000	00001000	00000004	00020000
15c00000	0	0	00100000	00001000	00000004	00020000
15d00000	0	0	00100000	00001000	00000004	00020000
15e00000	0	0	00100000	00010000	00000001	
15f00000	0	0	00100000	00001000	00000004	00020000
16000000	0	0	000a0000	00010000	00000001	
160a0000	0	0	00200000	00001000	00000404	00040000
162a0000	0	0	00060000	00010000	00000001	
16300000	0	0	00100000	00001000	00000004	00020000
16400000	0	0	00100000	00010000	00000001	
16500000	0	0	00100000	00001000	00000004	00020000
16600000	0	0	00100000	00001000	00000004	00020000
16700000	0	0	00060000	00010000	00000001	
16760000	0	0	00010000	00001000	00000040	00020000
16770000	0	0	00090000	00010000	00000001	
16800000	0	0	00100000	00001000	00000004	00020000
16900000	0	0	000f0000	00010000	00000001	
169f0000	0	0	00c34000	00001000	00000004	00020000
17624000	0	0	00001000	00002000		00020000
17625000	0	0	0039b000	00001000	00000004	00020000
179c0000	0	0	00627000	00001000	00000004	00020000
17fe7000	0	0	00001000	00002000		00020000
17fe8000	0	0	00261000	00001000	00000004	00020000
18249000	0	0	00001000	00002000		00020000
1824a000	0	0	00009000	00001000	00000004	00020000
18253000	0	0	00001000	00002000		00020000
18254000	0	0	006ad000	00001000	00000004	00020000
18901000	0	0	00002000	00002000		00020000
18903000	0	0	0008d000	00001000	00000004	00020000
18990000	0	0	00070000	00010000	00000001	
18a00000	0	0	00100000	00001000	00000004	00020000
18b00000	0	0	00050000	00010000	00000001	
18b50000	0	0	000fd000	00002000		00020000
18c4d000	0	0	00001000	00001000	00000104	00020000
18c4e000	0	0	00002000	00001000	00000004	00020000
18c50000	0	0	000fd000	00002000		00020000
18d4d000	0	0	00001000	00001000	00000104	00020000
18d4e000	0	0	00002000	00001000	00000004	00020000
18d50000	0	0	000b0000	00010000	00000001	
18e00000	0	0	00100000	00001000	00000004	00020000
18f00000	0	0	000fa000	00002000		00020000
18ffa000	0	0	00001000	00001000	00000104	00020000
18ffb000	0	0	00005000	00001000	00000004	00020000
19000000	0	0	00100000	00001000	00000004	00020000
19100000	0	0	000fd000	00002000		00020000
191fd000	0	0	00001000	00001000	00000104	00020000
191fe000	0	0	00002000	00001000	00000004	00020000
19200000	0	0	00100000	00001000	00000004	00020000
19300000	0	0	00100000	00010000	00000001	
19400000	0	0	00100000	00001000	00000004	00020000
19500000	0	0	000fd000	00002000		00020000
195fd000	0	0	00001000	00001000	00000104	00020000
195fe000	0	0	00002000	00001000	00000004	00020000
19600000	0	0	00100000	00001000	00000004	00020000
19700000	0	0	000fd000	00002000		00020000
197fd000	0	0	00002000	00001000	00000104	00020000
197ff000	0	0	00001000	00001000	00000004	00020000
19800000	0	0	00100000	00001000	00000004	00020000
19900000	0	0	00100000	00010000	00000001	
19a00000	0	0	00100000	00001000	00000004	00020000
19b00000	0	0	000fd000	00002000		00020000
19bfd000	0	0	00001000	00001000	00000104	00020000
19bfe000	0	0	00002000	00001000	00000004	00020000
19c00000	0	0	00100000	00001000	00000004	00020000
19d00000	0	0	000fd000	00002000		00020000
19dfd000	0	0	00001000	00001000	00000104	00020000
19dfe000	0	0	00002000	00001000	00000004	00020000
19e00000	0	0	00100000	00001000	00000004	00020000
19f00000	0	0	00100000	00010000	00000001	
1a000000	0	0	00100000	00001000	00000004	00020000
1a100000	0	0	000fd000	00002000		00020000
1a1fd000	0	0	00001000	00001000	00000104	00020000
1a1fe000	0	0	00002000	00001000	00000004	00020000
1a200000	0	0	00100000	00001000	00000004	00020000
1a300000	0	0	00100000	00010000	00000001	
1a400000	0	0	00100000	00001000	00000004	00020000
1a500000	0	0	000fd000	00002000		00020000
1a5fd000	0	0	00001000	00001000	00000104	00020000
1a5fe000	0	0	00002000	00001000	00000004	00020000
1a600000	0	0	00100000	00001000	00000004	00020000
1a700000	0	0	00100000	00001000	00000004	00020000
1a800000	0	0	00100000	00001000	00000004	00020000
1a900000	0	0	00100000	00010000	00000001	
1aa00000	0	0	00100000	00001000	00000004	00020000
1ab00000	0	0	000f7000	00001000	00000004	00020000
1abf7000	0	0	00109000	00002000		00020000
1ad00000	0	0	000fa000	00002000		00020000
1adfa000	0	0	00001000	00001000	00000104	00020000
1adfb000	0	0	00005000	00001000	00000004	00020000
1ae00000	0	0	00100000	00001000	00000004	00020000
1af00000	0	0	0018d000	00001000	00000002	00040000
1b08d000	0	0	00063000	00010000	00000001	
1b0f0000	0	0	00100000	00001000	00000004	00020000
1b1f0000	0	0	00010000	00010000	00000001	
1b200000	0	0	00100000	00001000	00000004	00020000
1b300000	0	0	000fa000	00002000		00020000
1b3fa000	0	0	00002000	00001000	00000104	00020000
1b3fc000	0	0	00004000	00001000	00000004	00020000
1b400000	0	0	00100000	00001000	00000004	00020000
1b500000	0	0	00101000	00001000	00000004	00020000
1b601000	0	0	0000f000	00010000	00000001	
1b610000	0	0	003f2000	00001000	00000004	00020000
1ba02000	0	0	00002000	00002000		00020000
1ba04000	0	0	0038d000	00001000	00000004	00020000
1bd91000	0	0	00001000	00002000		00020000
1bd92000	0	0	0018e000	00001000	00000004	00020000
1bf20000	0	0	00001000	00002000		00020000
1bf21000	0	0	005c8000	00001000	00000004	00020000
1c4e9000	0	0	00002000	00002000		00020000
1c4eb000	0	0	000f5000	00001000	00000004	00020000
1c5e0000	0	0	00020000	00010000	00000001	
1c600000	0	0	00100000	00001000	00000004	00020000
1c700000	0	0	00110000	00010000	00000001	
1c810000	0	0	000fa000	00002000		00020000
1c90a000	0	0	00001000	00001000	00000104	00020000
1c90b000	0	0	00005000	00001000	00000004	00020000
1c910000	0	0	00060000	00010000	00000001	
1c970000	0	0	00010000	00001000	00000040	00020000
1c980000	0	0	00080000	00010000	00000001	
1ca00000	0	0	00100000	00001000	00000004	00020000
1cb00000	0	0	00100000	00010000	00000001	
1cc00000	0	0	00100000	00001000	00000004	00020000
1cd00000	0	0	000fd000	00002000		00020000
1cdfd000	0	0	00001000	00001000	00000104	00020000
1cdfe000	0	0	00002000	00001000	00000004	00020000
1ce00000	0	0	00100000	00001000	00000004	00020000
1cf00000	0	0	00100000	00010000	00000001	
1d000000	0	0	00100000	00001000	00000004	00020000
1d100000	0	0	00100000	00010000	00000001	
1d200000	0	0	00100000	00001000	00000004	00020000
1d300000	0	0	00100000	00010000	00000001	
1d400000	0	0	00100000	00001000	00000004	00020000
1d500000	0	0	00100000	00010000	00000001	
1d600000	0	0	00100000	00001000	00000004	00020000
1d700000	0	0	00100000	00010000	00000001	
1d800000	0	0	00100000	00001000	00000004	00020000
1d900000	0	0	00100000	00001000	00000004	00020000
1da00000	0	0	00100000	00010000	00000001	
1db00000	0	0	00100000	00001000	00000004	00020000
1dc00000	0	0	00090000	00010000	00000001	
1dc90000	0	0	00200000	00001000	00000004	00020000
1de90000	0	0	00400000	00001000	00000004	00020000
1e290000	0	0	00800000	00001000	00000004	00020000
1ea90000	0	0	00fd0000	00001000	00000004	00020000
1fa60000	0	0	000a0000	00010000	00000001	
1fb00000	0	0	00100000	00001000	00000004	00020000
1fc00000	0	0	00100000	00010000	00000001	
1fd00000	0	0	00100000	00001000	00000004	00020000
1fe00000	0	0	00110000	00010000	00000001	
1ff10000	0	0	0025c000	00001000	00000004	00020000
2016c000	0	0	00d74000	00002000		00020000
20ee0000	0	0	00020000	00010000	00000001	
20f00000	0	0	00100000	00001000	00000004	00020000
21000000	0	0	00100000	00010000	00000001	
21100000	0	0	00100000	00001000	00000004	00020000
21200000	0	0	00100000	00010000	00000001	
21300000	0	0	00100000	00001000	00000004	00020000
21400000	0	0	000fd000	00002000		00020000
214fd000	0	0	00001000	00001000	00000104	00020000
214fe000	0	0	00002000	00001000	00000004	00020000
21500000	0	0	00100000	00001000	00000004	00020000
21600000	0	0	00180000	00010000	00000001	
21780000	0	0	008c1000	00001000	00000002	00040000
22041000	0	0	000bf000	00010000	00000001	
22100000	0	0	00100000	00001000	00000004	00020000
22200000	0	0	00100000	00010000	00000001	
22300000	0	0	00100000	00001000	00000004	00020000
22400000	0	0	00100000	00010000	00000001	
22500000	0	0	00100000	00001000	00000004	00020000
22600000	0	0	00100000	00010000	00000001	
22700000	0	0	00100000	00001000	00000004	00020000
22800000	0	0	00060000	00010000	00000001	
22860000	0	0	00001000	00001000	00000004	00020000
22861000	0	0	00021000	00002000		00020000
22882000	0	0	00062000	00001000	00000004	00020000
228e4000	0	0	0005f000	00002000		00020000
22943000	0	0	00025000	00001000	00000004	00020000
22968000	0	0	00081000	00002000		00020000
229e9000	0	0	00029000	00001000	00000004	00020000
22a12000	0	0	00082000	00002000		00020000
22a94000	0	0	00003000	00001000	00000004	00020000
22a97000	0	0	0001f000	00002000		00020000
22ab6000	0	0	00025000	00001000	00000004	00020000
22adb000	0	0	00024000	00002000		00020000
22aff000	0	0	00003000	00001000	00000004	00020000
22b02000	0	0	00092000	00002000		00020000
22b94000	0	0	00001000	00001000	00000004	00020000
22b95000	0	0	00052000	00002000		00020000
22be7000	0	0	00039000	00001000	00000004	00020000
22c20000	0	0	0003f000	00002000		00020000
22c5f000	0	0	00001000	00001000	00000004	00020000
22c60000	0	0	00b33000	00001000	00000004	00020000
23793000	0	0	00001000	00002000		00020000
23794000	0	0	00462000	00001000	00000004	00020000
23bf6000	0	0	00001000	00002000		00020000
23bf7000	0	0	00039000	00001000	00000004	00020000
23c30000	0	0	000d0000	00010000	00000001	
23d00000	0	0	00100000	00001000	00000004	00020000
23e00000	0	0	00100000	00001000	00000004	00020000
23f00000	0	0	00100000	00001000	00000004	00020000
24000000	0	0	00100000	00010000	00000001	
24100000	0	0	00100000	00001000	00000004	00020000
24200000	0	0	00100000	00010000	00000001	
24300000	0	0	00100000	00001000	00000004	00020000
24400000	0	0	000fd000	00002000		00020000
244fd000	0	0	00001000	00001000	00000104	00020000
244fe000	0	0	00002000	00001000	00000004	00020000
24500000	0	0	00100000	00001000	00000004	00020000
24600000	0	0	00100000	00001000	00000004	00020000
24700000	0	0	00100000	00010000	00000001	
24800000	0	0	00100000	00001000	00000004	00020000
24900000	0	0	00100000	00010000	00000001	
24a00000	0	0	00100000	00001000	00000004	00020000
24b00000	0	0	00100000	00010000	00000001	
24c00000	0	0	00100000	00001000	00000004	00020000
24d00000	0	0	00100000	00010000	00000001	
24e00000	0	0	00100000	00001000	00000004	00020000
24f00000	0	0	00100000	00010000	00000001	
25000000	0	0	00100000	00001000	00000004	00020000
25100000	0	0	00100000	00001000	00000004	00020000
25200000	0	0	00100000	00010000	00000001	
25300000	0	0	00100000	00001000	00000004	00020000
25400000	0	0	00100000	00010000	00000001	
25500000	0	0	00100000	00001000	00000004	00020000
25600000	0	0	00100000	00010000	00000001	
25700000	0	0	00100000	00001000	00000004	00020000
25800000	0	0	00100000	00010000	00000001	
25900000	0	0	00100000	00001000	00000004	00020000
25a00000	0	0	00100000	00010000	00000001	
25b00000	0	0	00100000	00001000	00000004	00020000
25c00000	0	0	00100000	00010000	00000001	
25d00000	0	0	00100000	00001000	00000004	00020000
25e00000	0	0	00100000	00010000	00000001	
25f00000	0	0	00100000	00001000	00000004	00020000
26000000	0	0	00100000	00010000	00000001	
26100000	0	0	00100000	00001000	00000004	00020000
26200000	0	0	00100000	00010000	00000001	
26300000	0	0	00100000	00001000	00000004	00020000
26400000	0	0	00100000	00001000	00000004	00020000
26500000	0	0	00100000	00010000	00000001	
26600000	0	0	00100000	00001000	00000004	00020000
26700000	0	0	00100000	00001000	00000004	00020000
26800000	0	0	00010000	00010000	00000001	
26810000	0	0	00010000	00001000	00000040	00020000
26820000	0	0	002f4000	00001000	00000004	00020000
26b14000	0	0	00001000	00002000		00020000
26b15000	0	0	006bf000	00001000	00000004	00020000
271d4000	0	0	00002000	00002000		00020000
271d6000	0	0	000e0000	00001000	00000004	00020000
272b6000	0	0	00002000	00002000		00020000
272b8000	0	0	00376000	00001000	00000004	00020000
2762e000	0	0	00001000	00002000		00020000
2762f000	0	0	001c1000	00001000	00000004	00020000
277f0000	0	0	00010000	00010000	00000001	
27800000	0	0	00100000	00001000	00000004	00020000
27900000	0	0	00190000	00010000	00000001	
27a90000	0	0	00010000	00001000	00000040	00020000
27aa0000	0	0	00180000	00010000	00000001	
27c20000	0	0	0009e000	00001000	00000004	00020000
27cbe000	0	0	00001000	00002000		00020000
27cbf000	0	0	00569000	00001000	00000004	00020000
28228000	0	0	00001000	00002000		00020000
28229000	0	0	000c9000	00001000	00000004	00020000
282f2000	0	0	00002000	00002000		00020000
282f4000	0	0	00255000	00001000	00000004	00020000
28549000	0	0	00001000	00002000		00020000
2854a000	0	0	006a6000	00001000	00000004	00020000
28bf0000	0	0	00010000	00010000	00000001	
28c00000	0	0	00100000	00001000	00000004	00020000
28d00000	0	0	00100000	00010000	00000001	
28e00000	0	0	00100000	00001000	00000004	00020000
28f00000	0	0	00110000	00010000	00000001	
29010000	0	0	001e3000	00001000	00000004	00020000
291f3000	0	0	00002000	00002000		00020000
291f5000	0	0	0028d000	00001000	00000004	00020000
29482000	0	0	00002000	00002000		00020000
29484000	0	0	00427000	00001000	00000004	00020000
298ab000	0	0	00001000	00002000		00020000
298ac000	0	0	00203000	00001000	00000004	00020000
29aaf000	0	0	00001000	00002000		00020000
29ab0000	0	0	003be000	00001000	00000004	00020000
29e6e000	0	0	00002000	00002000		00020000
29e70000	0	0	00170000	00001000	00000004	00020000
29fe0000	0	0	00020000	00010000	00000001	
2a000000	0	0	00100000	00001000	00000004	00020000
2a100000	0	0	00100000	00010000	00000001	
2a200000	0	0	00100000	00001000	00000004	00020000
2a300000	0	0	00100000	00010000	00000001	
2a400000	0	0	00100000	00001000	00000004	00020000
2a500000	0	0	00100000	00010000	00000001	
2a600000	0	0	00100000	00001000	00000004	00020000
2a700000	0	0	00100000	00010000	00000001	
2a800000	0	0	00100000	00001000	00000004	00020000
2a900000	0	0	00100000	00010000	00000001	
2aa00000	0	0	00100000	00001000	00000004	00020000
2ab00000	0	0	00100000	00010000	00000001	
2ac00000	0	0	00100000	00001000	00000004	00020000
2ad00000	0	0	00100000	00010000	00000001	
2ae00000	0	0	00100000	00001000	00000004	00020000
2af00000	0	0	00100000	00010000	00000001	
2b000000	0	0	00100000	00001000	00000004	00020000
2b100000	0	0	00100000	00010000	00000001	
2b200000	0	0	00100000	00001000	00000004	00020000
2b300000	0	0	00100000	00010000	00000001	
2b400000	0	0	00100000	00001000	00000004	00020000
2b500000	0	0	00100000	00001000	00000004	00020000
2b600000	0	0	00100000	00010000	00000001	
2b700000	0	0	00100000	00001000	00000004	00020000
2b800000	0	0	00100000	00010000	00000001	
2b900000	0	0	00100000	00001000	00000004	00020000
2ba00000	0	0	00100000	00010000	00000001	
2bb00000	0	0	00100000	00001000	00000004	00020000
2bc00000	0	0	00100000	00010000	00000001	
2bd00000	0	0	00100000	00001000	00000004	00020000
2be00000	0	0	00100000	00010000	00000001	
2bf00000	0	0	00100000	00001000	00000004	00020000
2c000000	0	0	00100000	00010000	00000001	
2c100000	0	0	00100000	00001000	00000004	00020000
2c200000	0	0	00100000	00010000	00000001	
2c300000	0	0	00100000	00001000	00000004	00020000
2c400000	0	0	00100000	00010000	00000001	
2c500000	0	0	00100000	00001000	00000004	00020000
2c600000	0	0	00100000	00010000	00000001	
2c700000	0	0	00100000	00001000	00000004	00020000
2c800000	0	0	00100000	00010000	00000001	
2c900000	0	0	00100000	00001000	00000004	00020000
2ca00000	0	0	00100000	00001000	00000004	00020000
2cb00000	0	0	00100000	00010000	00000001	
2cc00000	0	0	00100000	00001000	00000004	00020000
2cd00000	0	0	00fd0000	00001000	00000004	00020000
2dcd0000	0	0	00030000	00010000	00000001	
2dd00000	0	0	00100000	00001000	00000004	00020000
2de00000	0	0	001c0000	00010000	00000001	
2dfc0000	0	0	0000f000	00001000	00000004	00040000
2dfcf000	0	0	007f1000	00002000		00040000
2e7c0000	0	0	00040000	00010000	00000001	
2e800000	0	0	00100000	00001000	00000004	00020000
2e900000	0	0	00100000	00010000	00000001	
2ea00000	0	0	00100000	00001000	00000004	00020000
2eb00000	0	0	00100000	00010000	00000001	
2ec00000	0	0	00100000	00001000	00000004	00020000
2ed00000	0	0	00100000	00010000	00000001	
2ee00000	0	0	00100000	00001000	00000004	00020000
2ef00000	0	0	00100000	00010000	00000001	
2f000000	0	0	00100000	00001000	00000004	00020000
2f100000	0	0	00100000	00010000	00000001	
2f200000	0	0	00100000	00001000	00000004	00020000
2f300000	0	0	00090000	00010000	00000001	
2f390000	0	0	00010000	00001000	00000040	00020000
2f3a0000	0	0	00030000	00010000	00000001	
2f3d0000	0	0	00420000	00001000	00000404	00040000
2f7f0000	0	0	00010000	00010000	00000001	
2f800000	0	0	00100000	00001000	00000004	00020000
2f900000	0	0	00100000	00010000	00000001	
2fa00000	0	0	00100000	00001000	00000004	00020000
2fb00000	0	0	001f0000	00010000	00000001	
2fcf0000	0	0	008a6000	00001000	00000004	00020000
30596000	0	0	00001000	00002000		00020000
30597000	0	0	00579000	00001000	00000004	00020000
30b10000	0	0	00001000	00002000		00020000
30b11000	0	0	001af000	00001000	00000004	00020000
30cc0000	0	0	00040000	00010000	00000001	
30d00000	0	0	00100000	00001000	00000004	00020000
30e00000	0	0	00100000	00010000	00000001	
30f00000	0	0	00100000	00001000	00000004	00020000
31000000	0	0	00100000	00010000	00000001	
31100000	0	0	00100000	00001000	00000004	00020000
31200000	0	0	00100000	00010000	00000001	
31300000	0	0	00100000	00001000	00000004	00020000
31400000	0	0	00100000	00010000	00000001	
31500000	0	0	00100000	00001000	00000004	00020000
31600000	0	0	00100000	00010000	00000001	
31700000	0	0	00100000	00001000	00000004	00020000
31800000	0	0	00020000	00010000	00000001	
31820000	0	0	00079000	00001000	00000004	00020000
31899000	0	0	00001000	00002000		00020000
3189a000	0	0	009ab000	00001000	00000004	00020000
32245000	0	0	00002000	00002000		00020000
32247000	0	0	003f7000	00001000	00000004	00020000
3263e000	0	0	00001000	00002000		00020000
3263f000	0	0	0010e000	00001000	00000004	00020000
3274d000	0	0	00001000	00002000		00020000
3274e000	0	0	000a2000	00001000	00000004	00020000
327f0000	0	0	00010000	00010000	00000001	
32800000	0	0	00100000	00001000	00000004	00020000
32900000	0	0	00100000	00010000	00000001	
32a00000	0	0	00100000	00001000	00000004	00020000
32b00000	0	0	00100000	00010000	00000001	
32c00000	0	0	00100000	00001000	00000004	00020000
32d00000	0	0	00100000	00010000	00000001	
32e00000	0	0	00100000	00001000	00000004	00020000
32f00000	0	0	00100000	00001000	00000004	00020000
33000000	0	0	00100000	00010000	00000001	
33100000	0	0	00100000	00001000	00000004	00020000
33200000	0	0	00100000	00010000	00000001	
33300000	0	0	00100000	00001000	00000004	00020000
33400000	0	0	00100000	00010000	00000001	
33500000	0	0	00100000	00001000	00000004	00020000
33600000	0	0	00100000	00010000	00000001	
