BaseAddress	AllocationBase	AllocationProtect	RegionSize	State	Protect	Type
02090000	0	0	00010000	00001000	00000040	00020000
020a0000	0	0	00010000	00001000	00000040	00020000
020b0000	0	0	00010000	00001000	00000040	00020000
020c0000	0	0	00007000	00001000	00000002	00040000
020c7000	0	0	00009000	00010000	00000001	
020d0000	0	0	00010000	00001000	00000040	00020000
020e0000	0	0	00010000	00001000	00000040	00020000
020f0000	0	0	00010000	00001000	00000040	00020000
02100000	0	0	0001f000	00001000	00000002	00040000
0211f000	0	0	00001000	00010000	00000001	
02120000	0	0	00001000	00001000	00000004	00020000
02121000	0	0	0007f000	00002000		00020000
021a0000	0	0	00008000	00001000	00000404	00040000
021a8000	0	0	00008000	00010000	00000001	
021b0000	0	0	00008000	00001000	00000004	00040000
021b8000	0	0	00008000	00010000	00000001	
021c0000	0	0	00010000	00001000	00000040	00020000
021d0000	0	0	00010000	00001000	00000004	00020000
021e0000	0	0	000ee000	00002000		00020000
022ce000	0	0	00002000	00001000	00000104	00020000
022d0000	0	0	00010000	00001000	00000004	00020000
022e0000	0	0	00f9b000	00001000	00000002	00040000
0327b000	0	0	004a7000	00002000		00040000
03722000	0	0	0000e000	00010000	00000001	
03730000	0	0	00064000	00001000	00000002	00040000
03794000	0	0	0000c000	00010000	00000001	
037a0000	0	0	00010000	00001000	00000040	00020000
037b0000	0	0	00010000	00001000	00000040	00020000
037c0000	0	0	00027000	00001000	00000002	00040000
037e7000	0	0	00009000	00010000	00000001	
037f0000	0	0	00010000	00001000	00000040	00020000
03800000	0	0	00010000	00001000	00000040	00020000
03810000	0	0	00010000	00001000	00000040	00020000
03820000	0	0	00010000	00001000	00000040	00020000
03830000	0	0	00039000	00001000	00000004	00020000
03869000	0	0	000c7000	00002000		00020000
03930000	0	0	00003000	00001000	00000008	00040000
03933000	0	0	0000d000	00010000	00000001	
03940000	0	0	000fa000	00002000		00020000
03a3a000	0	0	00001000	00001000	00000104	00020000
03a3b000	0	0	00005000	00001000	00000004	00020000
03a40000	0	0	00831000	00001000	00000002	00040000
04271000	0	0	0000f000	00010000	00000001	
04280000	0	0	0059e000	00001000	00000002	00040000
0481e000	0	0	00002000	00010000	00000001	
04820000	0	0	00200000	00001000	00000004	00020000
04a20000	0	0	00001000	00001000	00000002	01000000
04a21000	0	0	00045000	00001000	00000020	01000000
04a66000	0	0	00007000	00001000	00000002	01000000
04a6d000	0	0	00004000	00001000	00000008	01000000
04a71000	0	0	00006000	00001000	00000004	01000000
04a77000	0	0	00005000	00001000	00000002	01000000
04a7c000	0	0	00004000	00010000	00000001	
04a80000	0	0	00001000	00001000	00000008	00040000
04a81000	0	0	0000f000	00010000	00000001	
04a90000	0	0	000fd000	00002000		00020000
04b8d000	0	0	00001000	00001000	00000104	00020000
04b8e000	0	0	00002000	00001000	00000004	00020000
04b90000	0	0	00010000	00001000	00000040	00020000
04ba0000	0	0	00010000	00001000	00000040	00020000
04bb0000	0	0	00004000	00001000	00000404	00040000
04bb4000	0	0	0000c000	00010000	00000001	
04bc0000	0	0	00010000	00001000	00000040	00020000
04bd0000	0	0	00010000	00001000	00000040	00020000
04be0000	0	0	00001000	00001000	00000008	00040000
04be1000	0	0	0000f000	00010000	00000001	
04bf0000	0	0	00001000	00001000	00000008	00040000
04bf1000	0	0	0000f000	00010000	00000001	
04c00000	0	0	000fd000	00002000		00020000
04cfd000	0	0	00001000	00001000	00000104	00020000
04cfe000	0	0	00002000	00001000	00000004	00020000
04d00000	0	0	0005f000	00001000	00000002	00040000
04d5f000	0	0	00001000	00010000	00000001	
04d60000	0	0	00002000	00001000	00000008	00040000
04d62000	0	0	0000e000	00010000	00000001	
04d70000	0	0	00040000	00001000	00000004	00020000
04db0000	0	0	000c0000	00001000	00000008	00040000
04e70000	0	0	000fa000	00002000		00020000
04f6a000	0	0	00001000	00001000	00000104	00020000
04f6b000	0	0	00005000	00001000	00000004	00020000
04f70000	0	0	00001000	00001000	00000004	00040000
04f71000	0	0	0000f000	00010000	00000001	
04f80000	0	0	00010000	00001000	00000040	00020000
04f90000	0	0	00010000	00001000	00000040	00020000
04fa0000	0	0	00010000	00001000	00000040	00020000
